"Alaska","Industry","Transportation","Electric power industry","Commercial","Residential","Agriculture","Gross total"
1991,"20.88622802"," 8.60659113"," 2.79027202"," 2.67840930"," 1.60425740"," 0.03313515","36.59889303"
1992,"22.98751453"," 7.47012579"," 2.64966632"," 2.76095521"," 1.63699685"," 0.03191627","37.53717496"
1993,"24.32301428"," 7.20795124"," 2.47735393"," 2.98512380"," 1.74534264"," 0.03239573","38.77118163"
1994,"23.9092684"," 8.2112010"," 2.4967681"," 2.9577422"," 1.6965263"," 0.0393355","39.3108416"
1995,"23.7187653"," 7.8842357"," 2.5119277"," 2.9584784"," 1.7211837"," 0.0423849","38.8369757"
1996,"27.60437007"," 8.85350016"," 2.59370509"," 2.89739538"," 1.75563264"," 0.04431504","43.74891837"
1997,"28.0870094"," 9.1780102"," 2.7168835"," 3.1808307"," 1.7713622"," 0.0447937","44.9788897"
1998,"26.22354839"," 9.71664765"," 2.92071695"," 2.94481186"," 1.67242133"," 0.04990763","43.52805380"
1999,"26.76001771","10.28972484"," 3.10622128"," 2.95537240"," 1.60192593"," 0.04491475","44.75817691"
2000,"25.22784170","11.31025536"," 3.20760268"," 3.13237911"," 1.87392097"," 0.04548478","44.79748460"
2001,"25.31303823","11.95107137"," 3.33183396"," 3.08003070"," 1.70274261"," 0.04091185","45.41962872"
2002,"25.12623661","11.52954842"," 3.40848642"," 2.94656004"," 1.82239333"," 0.04674411","44.87996893"
2003,"25.85569811","11.69049878"," 3.43260387"," 2.43407615"," 1.61352363"," 0.05077121","45.07717175"
2004,"25.81394810","11.94728316"," 3.11723410"," 2.29758460"," 1.66681681"," 0.05414486","44.89701163"
2005,"24.909487","14.660241"," 3.308981"," 2.590792"," 1.825456"," 0.058955","47.353912"
2006,"26.16349404","14.94179468"," 3.37741885"," 2.53418621"," 1.74426943"," 0.06142158","48.82258478"
2007,"22.58807619","14.82109626"," 3.62082843"," 2.88819115"," 2.17121599"," 0.06493004","46.15433806"
2008,"22.49979387","13.99289374"," 3.40371573"," 2.68127022"," 1.85320459"," 0.05881933","44.48969749"
2009,"20.41486435","12.38455984"," 3.38527279"," 2.76201292"," 1.73125888"," 0.05269537","40.73066414"
2010,"20.78568555","11.10721608"," 3.28167335"," 2.62937116"," 1.77134757"," 0.05281662","39.62811033"
2011,"19.90084827","10.48672131"," 3.18244532"," 3.52204537"," 1.72517235"," 0.06636606","38.88359868"
2012,"19.95799470"," 9.01532565"," 3.30214621"," 3.80993264"," 1.79710903"," 0.06690266","37.94941089"
2013,"19.58610664"," 8.56952851"," 3.25497383"," 3.65555274"," 1.77041647"," 0.07008795","36.90666614"
2014,"19.63343094"," 7.71281278"," 2.77827471"," 3.65619833"," 1.59089537"," 0.06617819","35.43779032"
2015,"19.21793017"," 8.46602902"," 3.05994235"," 3.49534643"," 1.51755946"," 0.06076193","35.81756936"
2016,"18.93716899"," 8.01982189"," 3.09991102"," 3.70238754"," 1.63987638"," 0.04513162","35.44429744"
2017,"18.56330967"," 7.69424663"," 2.89157947"," 3.19338629"," 1.53896505"," 0.04579073","33.92727786"
2018,"18.52863639"," 7.93027368"," 2.91515346"," 3.27748565"," 1.65209443"," 0.04734646","34.35099007"
2019,"19.06141416"," 7.42460191"," 2.80124163"," 2.68354498"," 1.52807492"," 0.05331911","33.55219672"
2020,"18.84233216"," 7.74570992"," 2.83703306"," 2.70361490"," 1.52672343"," 0.05675112","33.71216458"
2021,"20.10951853"," 8.08383037"," 2.85754365"," 2.73575820"," 1.71938736"," 0.06297288","35.56901099"
2022,"21.43587105"," 9.65548127"," 2.91577431"," 2.92052588"," 1.77640948"," 0.06245724","38.76651924"
2023,"24.00104479"," 9.02094911"," 2.97753773"," 2.85181160"," 1.70080952"," 0.06434601","40.61649876"
