"Arkansas","Electric power industry","Transportation","Agriculture","Industry","Commercial","Residential","Gross total"
1991,"22.137075","17.137568","17.010595","18.922015"," 3.100687"," 2.574562","80.882502"
1992,"22.150022","17.035651","18.289172","17.675300"," 3.381238"," 2.637330","81.168713"
1993,"22.520070","17.428761","16.721252","18.981743"," 3.505273"," 2.516668","81.673767"
1994,"20.127385","17.973750","18.058787","19.253096"," 3.345054"," 2.905182","81.663252"
1995,"22.344649","19.070767","17.864077","20.133555"," 3.578981"," 2.702121","85.694151"
1996,"24.249561","19.574720","18.154018","20.829164"," 3.631440"," 2.847615","89.286518"
1997,"26.467608","20.015074","18.091907","20.713748"," 3.848110"," 3.010759","92.147206"
1998,"24.782821","20.679443","17.858716","21.073629"," 3.609102"," 2.780971","90.784682"
1999,"26.420172","21.017480","19.145909","21.090364"," 3.412322"," 2.475856","93.562103"
2000,"27.550265","22.173721","18.316589","20.538360"," 3.445813"," 2.804160","94.828909"
2001,"27.163620","22.365905","19.010660","20.909539"," 3.585822"," 3.067292","96.102838"
2002,"27.733448","20.897922","18.199979","20.600736"," 3.590246"," 2.790712","93.813044"
2003,"26.329966","20.754358","18.432941","20.331363"," 3.591439"," 2.746499","92.186564"
2004,"27.129188","21.209917","18.828952","19.912089"," 3.679674"," 2.602142","93.361962"
2005,"28.032999","20.792096","20.060191","19.225013"," 3.597699"," 2.359503","94.067502"
2006,"26.130535","21.156618","21.585913","15.806046"," 3.706426"," 2.283891","90.669429"
2007,"28.223413","21.325451","21.029253","16.659229"," 3.603537"," 2.205458","93.046340"
2008,"29.415658","21.611496","20.445963","16.704443"," 3.626393"," 2.240475","94.044429"
2009,"29.831604","20.354557","19.339346","17.565681"," 4.159978"," 2.510617","93.761783"
2010,"29.669411","19.879110","19.456484","16.745877"," 4.422617"," 2.423717","92.597217"
2011," 33.238415"," 20.154134"," 21.176894"," 17.488803","  5.406476","  2.562610","100.027333"
2012,"35.103352","19.587969","19.329377","18.227810"," 5.274272"," 2.394508","99.917288"
2013,"35.428619","19.602848","19.034257","17.145900"," 5.199980"," 1.904186","98.315790"
2014,"36.499350","19.084383","17.302316","16.869607"," 5.419325"," 2.519063","97.694044"
2015," 36.473990"," 19.795439"," 18.273832"," 17.394753","  5.690324","  2.690365","100.318703"
2016,"27.791003","19.171218","18.550195","16.013469"," 5.728249"," 2.352957","89.607091"
2017,"31.043913","19.897537","19.372934","14.604147"," 5.433049"," 1.973858","92.325438"
2018,"32.649669","20.019959","16.576391","16.078436"," 5.458461"," 1.885565","92.668481"
2019," 37.595079"," 20.207292"," 19.406792"," 15.435613","  5.816355","  2.487282","100.948413"
2020,"31.745144","20.264227","17.067087","14.750320"," 5.947775"," 2.451829","92.226383"
2021,"23.007215","19.123503","17.631914","13.280506"," 5.765739"," 2.279044","81.087921"
2022,"29.061104","20.392300","17.707027","12.859810"," 6.102473"," 2.533745","88.656460"
2023,"30.942852","19.993753","17.632670","12.901250"," 6.021158"," 2.483728","89.975412"
