"california","Transportation","Industry","Commercial","Electric power industry","Agriculture","Residential","Gross total"
1991,"182.06276"," 97.43618"," 57.41936"," 43.00657"," 32.74066"," 30.34410","443.00963"
1992,"171.00391"," 99.66678"," 57.51488"," 40.59791"," 30.83575"," 30.25888","429.87811"
1993,"182.35586"," 97.43878"," 54.35420"," 48.10920"," 31.33196"," 28.22166","441.81167"
1994,"178.22845"," 93.49717"," 48.64081"," 44.49055"," 32.28596"," 29.53010","426.67303"
1995,"184.96541"," 92.52174"," 47.69197"," 51.82170"," 33.04600"," 30.13891","440.18572"
1996,"188.28629"," 93.10153"," 47.27925"," 39.46920"," 33.71251"," 28.35962","430.20841"
1997,"193.88044"," 94.38287"," 43.20023"," 35.15889"," 34.57818"," 28.68782","429.88843"
1998,"192.22481"," 98.28060"," 40.77952"," 37.60332"," 35.85538"," 28.38099","433.12462"
1999,"195.07131"," 98.70011"," 41.46851"," 41.00910"," 35.38318"," 33.90694","445.53914"
2000,"200.89353"," 95.04323"," 37.71376"," 45.03771"," 36.63777"," 33.66738","448.99338"
2001,"210.68990"," 96.48770"," 37.64238"," 54.75981"," 38.27861"," 29.40686","467.26526"
2002,"206.87414"," 94.78447"," 37.12824"," 59.62809"," 39.16528"," 30.31731","467.89752"
2003,"216.79793"," 96.90314"," 36.37709"," 45.81213"," 40.35720"," 30.25281","466.50030"
2004,"212.54262"," 96.32146"," 36.97798"," 44.70523"," 40.06790"," 29.82856","460.44375"
2005,"218.75382","101.26741"," 36.77629"," 48.47640"," 40.79264"," 30.84450","476.91107"
2006,"220.48956"," 97.99735"," 36.88595"," 43.97282"," 40.45776"," 29.41382","469.21725"
2007,"219.98134"," 97.18372"," 37.03548"," 48.50135"," 41.91994"," 29.72590","474.34773"
2008,"221.37285"," 96.36419"," 37.77336"," 51.98580"," 41.15927"," 30.03538","478.69085"
2009,"205.01928"," 91.79203"," 38.46805"," 52.78753"," 42.71306"," 30.41074","461.19070"
2010,"196.26574"," 86.12563"," 38.30513"," 49.85119"," 40.19173"," 30.20447","440.94388"
2011,"188.21778"," 86.23370"," 36.03149"," 45.43256"," 41.15289"," 31.16926","428.23768"
2012,"183.04850"," 86.06117"," 36.82961"," 38.02297"," 41.19416"," 32.16269","417.31910"
2013,"180.19748"," 86.77089"," 37.42160"," 49.65612"," 41.17378"," 30.01825","425.23812"
2014,"179.10475"," 92.13739"," 37.19085"," 47.50600"," 40.91293"," 30.76227","427.61420"
2015,"181.38356"," 88.78652"," 36.38484"," 48.00169"," 42.16736"," 26.28422","423.00819"
2016,"182.91150"," 90.70990"," 40.47237"," 45.96322"," 41.48647"," 26.91511","428.45857"
2017,"190.65061"," 89.85153"," 38.68524"," 38.20033"," 40.29701"," 27.74907","425.43379"
2018,"194.75415"," 88.65372"," 39.57691"," 34.42991"," 39.58801"," 28.85920","425.86190"
2019,"195.94972"," 89.19905"," 38.99826"," 34.94004"," 38.91458"," 28.79192","426.79358"
2020,"197.42840"," 88.96867"," 40.63003"," 32.44655"," 38.11790"," 31.56572","429.15727"
2021,"154.46276"," 81.81937"," 39.18077"," 35.09584"," 38.10946"," 31.37401","380.04220"
2022,"174.48136"," 81.17760"," 39.37205"," 36.71795"," 36.96527"," 31.87820","400.59243"
2023,"173.15686"," 81.15316"," 40.11216"," 36.79185"," 36.56334"," 31.35269","399.13006"
