"","year","alab_emm","alaska_emm","arizona_emm","arkansas_emm","california_emm","virginia_emm","washtn_emm","west.virg_emm","wiscon_emm","wyoming_emm","alabama_st","aaska_st","arizona_st","arkansas_st","california_st","virginia_st","washington_st","west_virginia_st","wisconsin_st","wyoming_st"
"1",2007,44.48969749,44.48969749,122.785838,94.044429,94.044429,94.044429,95.212253,148.218584,137.820467,106.4083753,0,0,12,0,367,0,0,0,0,0
"2",2008,40.73066414,40.73066414,123.299076,93.761783,93.761783,93.761783,92.925184,149.517194,137.21591,107.56194,0,0,5,0,376,1,2,0,0,0
"3",2009,39.62811033,39.62811033,113.004033,92.597217,92.597217,92.597217,91.178505,128.331055,127.537778,102.766494,0,0,5,0,411,3,3,0,0,0
"4",2010,38.88359868,38.88359868,117.835646,100.027333,100.027333,100.027333,87.298979,137.357726,129.784313,103.7471202,0,0,8,1,428,3,15,0,5,0
"5",2011,37.94941089,37.94941089,114.284946,99.917288,99.917288,99.917288,81.598696,131.564651,128.123436,103.2516,4,0,43,11,1392,90,438,6,60,0
"6",2012,36.90666614,36.90666614,112.587302,98.31579,98.31579,98.31579,79.327067,124.858193,120.778963,102.2090564,48,4,527,36,3573,300,1068,37,185,0
"7",2013,35.43779032,35.43779032,115.908325,97.694044,97.694044,97.694044,86.414859,128.524202,131.679381,104.629103,50,0,710,38,5176,370,1325,42,211,2
"8",2014,35.81756936,35.81756936,115.152331,100.318703,100.318703,100.318703,86.421747,136.951888,132.61441,100.1579145,94,304,768,59,6960,631,1518,101,304,17
"9",2015,35.44429744,35.44429744,113.671371,89.607091,89.607091,89.607091,86.421751,128.871315,130.943623,97.3212463,211,3,854,65,10252,766,1576,68,376,32
"10",2016,33.92727786,33.92727786,108.803969,92.325438,92.325438,92.325438,86.966997,127.368542,127.087655,91.032638,227,5,988,89,13655,991,1791,96,445,363
"11",2017,34.35099007,34.35099007,108.190751,92.668481,92.668481,92.668481,88.884872,127.797295,129.681527,92.243461,319,11,1041,112,16111,1094,2136,199,489,91
"12",2018,33.55219672,33.55219672,112.965843,100.948413,100.948413,100.948413,89.982115,124.821993,133.498141,93.701425,395,11,1227,124,21166,1446,2573,212,557,121
"13",2019,33.71216458,33.71216458,111.339947,92.226383,92.226383,92.226383,95.851688,118.453396,125.628521,87.693749,506,34,1476,290,27199,2056,3206,244,711,159
"14",2020,35.56901099,35.56901099,98.362622,81.087921,81.087921,81.087921,82.317002,108.901777,117.563236,85.016121,598,68,1788,350,34924,2531,3817,258,828,172
"15",2021,38.76651924,38.76651924,101.709732,88.65646,88.65646,88.65646,87.307273,118.62237,123.61338,84.15534,682,94,2259,463,41237,3302,4325,306,961,184
"16",2022,40.61649876,40.61649876,100.268287,89.975412,89.975412,89.975412,87.874234,114.811887,122.03252,83.641243,851,113,2661,590,43589,3643,4533,385,1101,214
