year,alab_industry,alab_transportation,alab_electric.power.industry,alab_commercial,alab_residential,alab_agriculture,alab_gross.total,alabama_st,alab_evregist,alaska_industry,alaska_transportation,alaska_electric.power.industry,alaska_commercial,alaska_residential,alaska_rgriculture,alaska_gross.total,alaska_st,alaska_evrest,arizona_transportation,arizona_electric.power.industry,arizona_industry,arizona_agriculture,arizona_commercial,arizona_residential,arizona_gross.total,arizona_st,arizona_evregist,arkansas_electric.power.industry,arkansas_transportation,arkansas_agriculture,arkansas_industry,arkansas_commercial,arkansas_residential,arkansas_gross.total,arkansas_st,arkansas_evregist,california_transportation,california_industry,california_commercial,california_electric.power.industry,california_agriculture,california_residential,california_gross.total,california_st,califorrnia_evregist,virginia_ransportation,virginia_electric.power.industry,virginia_industry,virginia_commercial,virginia_residential,virginia_agriculture,virginia_gross.total,virginia_st,virginia_evregist,wshtn_transportation,wshtn_industry,wshtn_electric.power.industry,wshtn_agriculture,wshtn_commercial,wshtn_residential,wshtn_gross.total,washington_st,washington_evregist,westvirg_electric.power.industry,westvirg_industry,westvirg_transportation,westvirg_commercial,westvirg_residential,westvirg_agriculture,westvirg_gross.total,west_virginia_st,west_virg_evregist,wiscons_lectric.power.industry,wiscons_transportation,wiscons_agriculture,wiscons_industry,wiscons_residential,wiscons_commercial,wiscons_gross.total,wisconsin_st,wisconsin_evregist,wyoming_electric.power.industry,wyoming_industry,wyoming_agriculture,wyoming_transportation,wyoming_commercial,wyoming_residential,wyoming_gross.total,wyoming_st,wyoming_evregist
1991,20.88622802,8.60659113,2.79027202,2.6784093,1.6042574,0.03313515,36.59889303,NA,NA,20.88622802,8.60659113,2.79027202,2.6784093,1.6042574,0.03313515,36.59889303,NA,NA,23.656247,33.688803,7.304266,7.807517,6.089685,1.916961,80.463478,NA,Na,22.137075,17.137568,17.010595,18.922015,3.100687,2.574562,80.882502,NA,NA,182.06276,97.43618,57.41936,43.00657,32.74066,30.3441,443.00963,NA,NA,40.155091,24.569896,49.645972,8.917586,6.572744,6.510355,136.371645,NA,NA,34.834589,27.730338,8.684986,8.703562,6.640494,3.672249,90.266218,NA,Na,72.149903,73.307428,10.231029,2.916373,2.460733,1.642182,162.707648,NA,NA,34.32353,25.178962,21.459335,17.955267,9.620688,9.348289,117.886071,NA,Na,40.4971849,24.3111965,7.7057505,5.2845138,1.1034871,0.8450583,79.7471911,NA,Na
1992,22.98751453,7.47012579,2.64966632,2.76095521,1.63699685,0.03191627,37.53717496,NA,NA,22.98751453,7.47012579,2.64966632,2.76095521,1.63699685,0.03191627,37.53717496,NA,NA,23.715438,33.944962,7.536854,6.839967,6.187952,1.992572,80.217745,NA,Na,22.150022,17.035651,18.289172,17.6753,3.381238,2.63733,81.168713,NA,NA,171.00391,99.66678,57.51488,40.59791,30.83575,30.25888,429.87811,NA,NA,38.539477,26.54518,48.295528,9.065819,6.515918,6.595995,135.557918,NA,NA,33.834405,27.122057,9.024869,8.289926,6.683511,4.004677,88.959445,NA,Na,67.069767,70.944098,9.974116,3.035796,2.391551,1.611361,155.02669,NA,NA,35.477892,25.322959,21.137048,18.256049,10.392671,9.939734,120.526353,NA,Na,39.5478283,24.2327861,7.5324828,5.1610163,1.2025289,0.9006268,78.5772692,NA,Na
1993,24.32301428,7.20795124,2.47735393,2.9851238,1.74534264,0.03239573,38.77118163,NA,NA,24.32301428,7.20795124,2.47735393,2.9851238,1.74534264,0.03239573,38.77118163,NA,NA,24.584556,36.61097,7.385831,7.682017,5.91009,1.861433,84.034897,NA,Na,22.52007,17.428761,16.721252,18.981743,3.505273,2.516668,81.673767,NA,NA,182.35586,97.43878,54.3542,48.1092,31.33196,28.22166,441.81167,NA,NA,39.934072,28.390137,45.944711,9.288014,6.986051,6.825068,137.368054,NA,NA,37.849644,28.799941,11.176166,8.513946,6.289995,3.623768,96.253459,NA,Na,68.958751,71.093771,11.055901,3.008105,2.515304,1.673261,158.305095,NA,NA,34.61172,26.49691,20.23712,17.90803,10.02639,10.00777,119.28793,NA,Na,43.293452,26.3498464,7.760474,5.4836551,0.9874603,0.7841595,84.6590473,NA,Na
1994,23.9092684,8.211201,2.4967681,2.9577422,1.6965263,0.0393355,39.3108416,NA,NA,23.9092684,8.211201,2.4967681,2.9577422,1.6965263,0.0393355,39.3108416,NA,NA,26.035354,37.749593,7.602269,7.185238,5.971912,1.810171,86.354537,NA,Na,20.127385,17.97375,18.058787,19.253096,3.345054,2.905182,81.663252,NA,NA,178.22845,93.49717,48.64081,44.49055,32.28596,29.5301,426.67303,NA,NA,40.883223,32.913935,39.297181,10.295429,7.129065,6.757819,137.276652,NA,NA,36.432077,27.366866,11.338675,9.136048,6.443207,4.275005,94.991877,NA,Na,68.769064,63.89146,11.312881,2.856844,2.577345,1.693267,151.10086,NA,NA,35.36661,27.27269,20.36894,18.73282,10.56871,9.99872,122.30849,NA,Na,41.1823302,24.5025157,8.4339984,5.8965153,1.1891969,0.8960819,82.1006386,NA,Na
1995,23.7187653,7.8842357,2.5119277,2.9584784,1.7211837,0.0423849,38.8369757,NA,NA,23.7187653,7.8842357,2.5119277,2.9584784,1.7211837,0.0423849,38.8369757,NA,NA,27.134352,39.184868,8.130999,7.214911,5.983046,1.896413,89.544589,NA,Na,22.344649,19.070767,17.864077,20.133555,3.578981,2.702121,85.694151,NA,NA,184.96541,92.52174,47.69197,51.8217,33.046,30.13891,440.18572,NA,NA,42.101868,30.815773,37.38477,10.56528,7.000769,6.761863,134.630323,NA,NA,37.994472,28.274264,12.952638,8.88123,6.690012,4.302215,99.094832,NA,Na,75.048225,64.000033,11.962804,2.965423,2.569487,1.674958,158.220929,NA,NA,37.093993,28.846248,19.874561,19.239228,10.119464,9.855668,125.029162,NA,Na,43.2202299,25.6535489,8.7269816,5.7993349,1.2229731,0.8382881,85.4613564,NA,Na
1996,27.60437007,8.85350016,2.59370509,2.89739538,1.75563264,0.04431504,43.74891837,NA,NA,27.60437007,8.85350016,2.59370509,2.89739538,1.75563264,0.04431504,43.74891837,NA,NA,27.760275,33.363037,8.621538,7.421209,6.00242,1.907901,85.076381,NA,Na,24.249561,19.57472,18.154018,20.829164,3.63144,2.847615,89.286518,NA,NA,188.28629,93.10153,47.27925,39.4692,33.71251,28.35962,430.20841,NA,NA,43.036858,32.20203,34.446899,10.75456,7.244648,6.817136,134.50213,NA,NA,39.487604,28.180208,9.325814,8.769345,6.90104,4.343887,97.007898,NA,Na,74.729772,62.55449,12.141563,2.943632,2.523347,1.655272,156.548075,NA,NA,38.88072,29.5595,19.63273,19.83454,10.41234,10.2375,128.55733,NA,Na,40.6381012,25.9033709,8.8900233,6.1959887,1.1482351,0.8842944,83.6600136,NA,Na
1997,28.0870094,9.1780102,2.7168835,3.1808307,1.7713622,0.0447937,44.9788897,NA,NA,28.0870094,9.1780102,2.7168835,3.1808307,1.7713622,0.0447937,44.9788897,NA,NA,29.599737,33.32462,8.892025,7.413112,5.900419,1.896121,87.026034,NA,Na,26.467608,20.015074,18.091907,20.713748,3.84811,3.010759,92.147206,NA,NA,193.88044,94.38287,43.20023,35.15889,34.57818,28.68782,429.88843,NA,NA,44.117484,35.023837,34.722146,11.523799,8.25024,6.924665,140.562171,NA,NA,39.799376,29.715809,11.683877,8.328242,6.919491,5.012414,101.459208,NA,Na,79.911735,64.441772,11.227768,3.168824,2.754729,1.685468,163.190298,NA,NA,40.70027,30.41229,19.21794,19.68497,11.69075,11.33522,133.04145,NA,Na,41.4206155,26.1004521,8.7681563,6.6079712,1.5192683,0.9804336,85.3968971,NA,Na
1998,26.22354839,9.71664765,2.92071695,2.94481186,1.67242133,0.04990763,43.5280538,NA,NA,26.22354839,9.71664765,2.92071695,2.94481186,1.67242133,0.04990763,43.5280538,NA,NA,31.384129,36.065421,8.866564,7.632747,6.13366,2.109906,92.192425,NA,Na,24.782821,20.679443,17.858716,21.073629,3.609102,2.780971,90.784682,NA,NA,192.22481,98.2806,40.77952,37.60332,35.85538,28.38099,433.12462,NA,NA,45.638819,36.36334,33.588888,12.064035,7.890783,6.511531,142.057396,NA,NA,38.435008,28.220028,9.831168,8.129105,6.973032,5.1152,96.703541,NA,Na,83.94987,61.643282,12.525299,2.975629,2.733231,1.541971,165.369281,NA,NA,43.86129,30.71419,18.84516,20.15961,10.55132,11.39394,135.5255,NA,Na,41.054123,26.981009,9.740044,6.769779,1.129044,0.838098,86.512097,NA,Na
1999,26.76001771,10.28972484,3.10622128,2.9553724,1.60192593,0.04491475,44.75817691,NA,NA,26.76001771,10.28972484,3.10622128,2.9553724,1.60192593,0.04491475,44.75817691,NA,NA,32.241177,38.53805,8.929229,7.843598,6.0649,2.43377,96.050725,NA,Na,26.420172,21.01748,19.145909,21.090364,3.412322,2.475856,93.562103,NA,NA,195.07131,98.70011,41.46851,41.0091,35.38318,33.90694,445.53914,NA,NA,47.021374,38.636474,32.297143,11.879157,7.188288,6.508962,143.531397,NA,NA,37.613167,33.061455,12.679434,8.587727,6.493624,4.990883,103.42629,NA,Na,84.932123,63.674396,12.711237,3.009224,2.340609,1.534939,168.202528,NA,NA,43.117434,32.522714,19.486485,19.372727,9.095169,10.808514,134.403043,NA,Na,45.5639235,28.6500692,9.4970231,7.0974132,1.1043902,0.8050689,92.7178881,NA,Na
2000,25.2278417,11.31025536,3.20760268,3.13237911,1.87392097,0.04548478,44.7974846,NA,NA,25.2278417,11.31025536,3.20760268,3.13237911,1.87392097,0.04548478,44.7974846,NA,NA,34.168232,40.870782,8.753077,7.913268,6.419046,2.359764,100.48417,NA,Na,27.550265,22.173721,18.316589,20.53836,3.445813,2.80416,94.828909,NA,NA,200.89353,95.04323,37.71376,45.03771,36.63777,33.66738,448.99338,NA,NA,48.847635,39.687222,31.807682,11.103286,7.28403,7.134673,145.864528,NA,NA,40.362047,33.39373,11.421614,8.287112,6.780873,5.55668,105.802056,NA,Na,87.673599,64.128732,12.784128,3.100644,2.489627,1.577753,171.754483,NA,NA,43.86191,33.0782,20.79387,19.48808,10.17641,10.48171,137.88019,NA,Na,43.802184,29.1213841,8.4786763,8.2892475,1.0688051,0.7903196,91.5506166,NA,Na
