"State","PM.2.5","NO2","Ozone_ppm","Population_2022","Urbanization","EV_count","Temp_F","Precip_in","EV_ratio"
"Alabama",7.938141306,"13.97",0.04117,5076181,57.7372395123758,8700,64,57.85,0.00171388687676818
"Alaska",9.096317705,"N/A",0.03012,734442,64.899487449396,2000,NA,NA,0.00272315581080603
"Arizona",7.593230195,"19.84157283",0.04978,7377566,89.2851599566077,65800,61.2,12.07,0.0089189307150895
"Arkansas",8.503405547,"12.63386475",0.03789,3047704,55.476131022034,5100,61.2,51.69,0.00167339085422994
"California",8.810454049,"14.08865312",0.04482,39142414,94.2366327389068,903600,60.1,14.1,0.0230849328812474
"Colorado",6.044715958,"12.08800753",0.04979,5850935,86.0267065531822,59900,46.2,16.48,0.0102376799605533
"Connecticut",6.349004078,"16.015749",0.04528,3617925,86.2507293513155,22000,51,43.84,0.00608083362700996
"Delaware",6.61964324,"15.109617",0.04341,1020625,82.6121170000849,5400,56.5,41.27,0.00529087568891611
"District of Columbia",NA,NA,NA,676725,100,5900,NA,NA,0.00871846023126085
"Florida",7.029742661,"11.34896919",0.03782,22379312,91.534194591216,168000,72.5,54.77,0.00750693318900956
"Georgia",8.673442261,"19.39870583",0.041,10931805,74.0669729426354,60100,64.8,45.83,0.00549771972698013
"Hawaii",3.429344032,"6.20514775",0.02731,1440359,86.0630081957244,19800,NA,NA,0.0137465729030054
"Idaho",8.894536524,"17.7597965",0.04803,1944299,69.2421752742909,5900,43.5,22.04,0.00303451269583536
"Illinois",8.636793319,"17.04485281",0.04299,12621821,86.9274774306482,66900,52.1,37.25,0.00530034453824056
"Indiana",8.806328359,"11.7158415",0.0432,6844545,71.1762739760266,17700,52.2,38.18,0.0025860009686546
"Iowa",7.511652556,"5.86381",0.04115,3202820,63.1535411734505,6200,47.5,27.32,0.00193579408146571
"Kansas",8.599241376,"7.9386847",0.04566,2937324,72.2990387626452,7600,55.2,21.24,0.00258738906569381
"Kentucky",7.893092185,"11.3891085",0.0432,4519233,58.6984524070561,7600,56.3,49.31,0.00168170129754319
"Louisiana",8.396882651,"9.387072944",0.03951,4593687,71.5416669439818,5900,67.3,55.58,0.00128437135573233
"Maine",4.258953952,"6.93755675",0.03708,1390922,38.6321813853764,5000,43.4,49.95,0.00359473787890335
"Maryland",6.43654851,"13.79387808",0.04392,6192440,85.6170992018421,46100,55.7,44.1,0.00744456143297311
