"State","Registration Count","count"
"Alabama","959.0",959
"Alaska","1139.0",1139
"Arizona","1675.0",1675
"Arkansas","2697.0",2697
"California","2758.0",2758
"Colorado","3590.0",3590
"Connecticut","4608.0",4608
"Delaware","6396.0",6396
"District of Columbia","6920.0",6920
"Florida","7108.0",7108
"Georgia","7377.0",7377
"Hawaii","7816.0",7816
"Idaho","8066.0",8066
"Illinois","8150.0",8150
"Indiana","8435.0",8435
"Iowa","8501.0",8501
"Kansas","9031.0",9031
"Kentucky","9861.0",9861
"Louisiana","10276.0",10276
"Maine","11271.0",11271
"Maryland","11617.0",11617
"Massachusetts","13047.0",13047
"Michigan","20873.0",20873
"Minnesota","22843.0",22843
"Mississippi","24943.0",24943
"Missouri","25565.0",25565
"Montana","26101.0",26101
"Nebraska","26861.0",26861
"Nevada","31557.0",31557
"New Hampshire","33221.0",33221
"New Jersey","37050.0",37050
"New Mexico","39998.0",39998
"New York","47361.0",47361
"North Carolina","50284.0",50284
"North Dakota","50393.0",50393
"Ohio","64361.0",64361
"Oklahoma","70154.0",70154
"Oregon","70164.0",70164
"Pennsylvania","72139.0",72139
"Rhode Island","73768.0",73768
"South Carolina","84936.0",84936
"South Dakota","89798.0",89798
"Tennessee","90083.0",90083
"Texas","92368.0",92368
"Utah","99573.0",99573
"Vermont","131250.0",131250
"Virginia","134753.0",134753
"Washington","152101.0",152101
"West Virginia","230125.0",230125
"Wisconsin","254878.0",254878
"Wyoming","1256646.0",1256646
"Total","3555445",3555445
